# Frame 0, 14
0,car,290,318,321,349,84.81,0
1,car,347,372,385,421,82.52,0
2,truck,469,463,568,574,81.45,0
3,truck,603,418,650,471,69.49,0
4,car,347,253,371,272,67.83,0
5,car,363,427,411,486,63.36,0
6,car,273,330,303,362,62.85,0
7,car,264,207,292,225,59.44,0
8,car,253,203,265,215,46.03,0
9,car,309,230,331,247,42.51,0
10,bus,468,463,569,573,41.33,0
11,car,206,189,217,201,39.45,0
12,car,129,201,140,212,38.74,0
13,car,603,418,649,471,35.12,0
# Frame 1, 15
0,car,290,319,322,350,85.92,1
1,car,348,373,386,420,84.53,1
2,truck,471,465,570,574,82.88,1
3,car,274,331,304,363,72.17,1
4,car,347,254,371,272,68.24,1
5,car,365,428,411,485,63.10,1
6,car,265,207,290,225,57.07,1
7,truck,604,420,651,471,56.66,1
8,car,604,420,651,471,50.24,1
9,car,253,202,265,216,49.78,1
10,car,206,190,217,201,46.89,1
11,car,309,230,331,247,44.44,1
12,bus,470,465,571,573,39.69,1
13,car,129,200,139,212,32.91,1
14,car,372,255,390,268,32.81,1
# Frame 2, 15
0,car,349,374,388,422,86.91,2
1,car,291,321,322,350,85.78,2
2,car,275,331,305,363,69.74,2
3,car,347,254,371,272,68.05,2
4,bus,472,467,572,573,67.19,2
5,car,366,429,421,496,62.82,2
6,car,265,207,289,225,56.04,2
7,truck,473,467,572,574,50.48,2
8,truck,606,421,652,471,50.21,2
9,car,606,421,652,472,49.17,2
10,car,253,203,265,215,48.40,2
11,car,206,190,217,201,48.17,2
12,car,309,230,331,247,43.94,2
13,car,129,200,139,211,36.17,2
14,car,372,255,390,268,31.44,2
# Frame 3, 14
0,car,291,322,323,351,85.72,3
1,car,350,374,389,422,85.18,3
2,bus,476,469,573,573,77.20,3
3,car,367,432,418,494,68.95,3
4,car,347,254,371,272,68.25,3
5,car,275,331,305,364,67.18,3
6,car,265,207,291,227,56.31,3
7,car,608,422,656,473,52.72,3
8,car,253,203,265,216,47.53,3
9,car,206,189,217,202,45.34,3
10,car,309,230,331,247,43.85,3
11,truck,609,422,655,473,42.62,3
12,car,372,255,390,268,31.44,3
13,car,129,199,139,210,28.83,3
# Frame 4, 16
0,car,292,323,324,352,86.34,4
1,car,351,375,389,422,83.35,4
2,car,347,254,371,272,68.36,4
3,car,276,332,306,364,64.77,4
4,bus,478,470,576,573,59.11,4
5,car,369,433,418,493,58.35,4
6,car,611,424,658,475,51.77,4
7,car,265,207,293,227,51.73,4
8,truck,478,470,576,573,50.29,4
9,car,253,203,265,215,47.92,4
10,truck,611,424,657,475,43.58,4
11,car,308,230,331,247,43.48,4
12,car,207,189,218,203,40.92,4
13,car,372,255,390,268,31.44,4
14,car,478,471,576,573,30.92,4
15,car,129,199,139,210,25.13,4
# Frame 5, 15
0,car,292,323,325,352,85.18,5
1,car,352,376,391,425,82.95,5
2,truck,478,472,579,573,70.38,5
3,car,347,254,371,272,68.79,5
4,car,370,435,420,497,65.60,5
5,car,277,332,306,365,60.81,5
6,car,613,425,659,475,60.67,5
7,car,253,203,265,215,48.12,5
8,car,265,206,291,227,47.15,5
9,bus,478,472,579,573,45.55,5
10,car,306,230,331,247,44.98,5
11,car,207,190,218,203,35.71,5
12,truck,612,425,658,475,35.21,5
13,car,372,255,390,268,33.76,5
14,car,478,472,578,574,33.15,5
# Frame 6, 15
0,car,354,377,392,426,85.36,6
1,car,293,324,325,353,83.74,6
2,car,615,430,660,477,72.12,6
3,car,347,253,371,272,69.09,6
4,car,371,436,425,500,66.88,6
5,car,277,333,307,369,63.43,6
6,car,481,473,579,574,56.77,6
7,truck,482,474,580,574,50.60,6
8,car,265,206,291,229,49.38,6
9,car,253,202,265,215,47.71,6
10,car,307,230,331,247,47.69,6
11,bus,482,474,580,574,36.77,6
12,car,372,255,390,268,34.59,6
13,car,207,191,218,204,32.74,6
14,truck,615,430,660,476,26.31,6
# Frame 7, 15
0,car,354,378,393,426,84.34,7
1,car,294,323,326,353,80.69,7
2,car,617,433,663,478,70.40,7
3,car,374,437,426,503,69.95,7
4,car,346,254,371,272,69.03,7
5,car,481,477,582,574,61.55,7
6,car,278,334,309,370,59.03,7
7,car,265,206,289,223,53.11,7
8,car,308,230,331,247,50.97,7
9,truck,482,476,583,574,50.91,7
10,car,253,202,265,215,48.75,7
11,car,372,255,390,268,33.14,7
12,bus,482,476,583,574,32.95,7
13,car,207,190,218,204,29.73,7
14,truck,616,432,663,478,25.49,7
# Frame 8, 15
0,car,356,379,393,428,84.22,8
1,car,294,324,327,354,83.25,8
2,truck,486,477,586,574,70.89,8
3,car,376,441,428,504,69.87,8
4,car,278,336,309,371,69.46,8
5,car,347,254,371,272,69.05,8
6,car,619,432,666,481,65.59,8
7,car,265,206,289,224,54.25,8
8,car,309,231,331,247,50.99,8
9,car,253,203,265,215,48.73,8
10,bus,486,478,586,574,37.30,8
11,car,484,478,585,575,34.83,8
12,car,372,255,390,268,33.34,8
13,truck,619,432,666,480,30.63,8
14,car,208,191,218,204,28.03,8
# Frame 9, 14
0,car,295,324,327,355,84.10,9
1,car,357,379,395,429,84.09,9
2,car,378,442,429,507,74.82,9
3,car,620,432,667,483,73.47,9
4,truck,487,479,587,574,73.07,9
5,car,279,336,310,371,70.77,9
6,car,346,253,371,272,68.97,9
7,car,265,206,289,222,56.97,9
8,car,253,202,266,215,47.94,9
9,car,307,229,331,247,45.26,9
10,car,209,191,219,204,35.01,9
11,bus,488,480,588,574,33.07,9
12,car,372,254,390,268,32.94,9
13,car,488,480,587,574,30.08,9
# Frame 10, 13
0,car,358,381,396,431,86.74,10
1,car,296,325,328,355,84.48,10
2,car,379,444,431,509,78.68,10
3,truck,489,480,590,574,72.06,10
4,car,279,337,310,372,71.77,10
5,car,346,254,371,272,69.04,10
6,car,621,431,671,487,66.40,10
7,car,265,206,289,223,54.62,10
8,car,253,202,266,215,47.20,10
9,car,307,230,331,247,42.85,10
10,car,209,192,219,205,34.86,10
11,bus,489,481,590,574,34.23,10
12,car,372,255,390,268,30.24,10
# Frame 11, 14
0,car,359,382,397,432,87.95,11
1,car,296,325,328,356,84.53,11
2,car,380,445,435,512,79.35,11
3,car,280,337,312,372,70.05,11
4,car,346,254,371,272,69.33,11
5,car,623,431,673,488,65.45,11
6,truck,490,482,592,574,60.40,11
7,car,265,206,289,223,58.28,11
8,bus,490,483,593,574,48.98,11
9,car,307,230,331,247,48.65,11
10,car,253,202,266,215,46.58,11
11,car,209,193,220,205,40.97,11
12,car,491,483,593,574,33.46,11
13,car,372,255,390,268,29.82,11
# Frame 12, 14
0,car,359,383,399,434,86.40,12
1,car,296,325,329,357,84.37,12
2,car,383,446,436,513,77.51,12
3,car,347,254,371,272,69.19,12
4,car,624,431,677,491,63.93,12
5,car,281,338,313,372,63.48,12
6,truck,493,484,594,574,61.40,12
7,car,265,206,290,224,58.34,12
8,car,308,230,331,247,51.19,12
9,car,253,202,266,215,46.71,12
10,car,209,193,220,206,42.65,12
11,bus,493,485,594,574,39.57,12
12,car,372,255,390,268,28.76,12
13,car,493,485,594,574,26.78,12
# Frame 13, 13
0,car,360,384,400,435,86.94,13
1,car,297,326,330,358,85.82,13
2,truck,497,486,596,574,73.95,13
3,car,347,254,371,272,68.78,13
4,car,623,431,677,490,63.26,13
5,car,264,206,290,224,63.10,13
6,car,282,340,312,374,59.70,13
7,car,384,448,437,515,59.66,13
8,car,252,202,267,215,47.55,13
9,car,309,230,331,247,45.07,13
10,car,210,194,220,206,40.53,13
11,bus,497,486,596,574,29.88,13
12,car,372,255,390,268,28.41,13
# Frame 14, 14
0,car,297,326,330,358,86.77,14
1,car,361,386,401,435,85.07,14
2,truck,498,488,597,574,73.38,14
3,car,347,254,371,272,68.68,14
4,car,265,206,290,224,59.49,14
5,car,283,340,313,376,59.38,14
6,car,628,432,679,495,48.36,14
7,car,253,202,266,215,46.21,14
8,car,309,230,331,247,44.35,14
9,car,385,450,441,518,42.17,14
10,car,210,194,221,208,40.86,14
11,truck,627,432,679,493,34.46,14
12,car,498,488,598,574,34.35,14
13,car,371,255,390,268,28.11,14
# Frame 15, 16
0,car,298,328,331,359,86.72,15
1,car,362,387,402,436,83.50,15
2,truck,496,490,600,573,73.26,15
3,car,346,254,371,272,69.02,15
4,car,264,205,289,223,67.48,15
5,car,284,341,313,376,58.47,15
6,car,252,202,268,216,53.56,15
7,car,209,195,222,208,53.51,15
8,car,311,231,331,247,45.06,15
9,car,622,431,681,491,40.56,15
10,car,387,452,438,518,39.46,15
11,truck,621,430,681,491,36.45,15
12,car,284,342,305,357,30.21,15
13,car,196,183,207,194,28.94,15
14,car,372,255,390,268,27.80,15
15,car,388,453,425,490,27.63,15
# Frame 16, 16
0,car,298,329,332,359,86.19,16
1,car,364,389,404,439,80.64,16
2,car,347,254,371,272,69.12,16
3,car,264,205,291,223,64.96,16
4,truck,501,492,602,573,64.48,16
5,car,390,455,446,525,61.98,16
6,car,285,342,314,379,60.41,16
7,car,252,202,267,215,53.83,16
8,car,210,196,222,208,52.15,16
9,car,311,230,331,247,45.69,16
10,car,501,492,603,573,43.39,16
11,car,635,442,682,489,37.62,16
12,truck,635,442,682,489,35.80,16
13,bus,502,492,602,573,32.27,16
14,car,372,255,390,268,28.57,16
15,car,285,342,305,358,26.31,16
# Frame 17, 16
0,car,299,329,332,360,86.75,17
1,car,365,390,405,441,81.42,17
2,truck,503,494,605,573,69.68,17
3,car,346,254,371,272,69.05,17
4,car,285,343,314,379,67.57,17
5,car,264,205,291,223,63.96,17
6,car,252,202,268,216,53.96,17
7,car,210,196,222,209,50.36,17
8,car,311,231,330,247,43.96,17
9,car,392,457,448,525,41.18,17
10,truck,638,441,684,491,39.94,17
11,car,638,441,684,492,34.86,17
12,car,503,494,605,573,32.85,17
13,bus,503,494,605,573,30.66,17
14,car,393,457,428,497,29.11,17
15,car,372,255,390,269,28.54,17
# Frame 18, 14
0,car,366,391,406,442,84.84,18
1,car,300,330,333,361,84.55,18
2,truck,506,496,607,573,69.58,18
3,car,346,254,371,272,68.94,18
4,car,286,345,314,380,65.12,18
5,car,264,205,292,224,62.95,18
6,car,252,202,268,216,54.60,18
7,car,394,459,453,529,47.77,18
8,car,311,231,330,247,47.41,18
9,car,211,197,222,210,45.63,18
10,car,506,497,607,573,38.66,18
11,car,372,255,390,269,28.54,18
12,car,640,442,684,491,27.74,18
13,car,196,184,207,195,25.70,18
# Frame 19, 18
0,car,300,331,334,362,84.87,19
1,car,366,392,407,442,81.22,19
2,car,346,254,371,272,68.60,19
3,car,287,345,315,381,63.84,19
4,car,264,205,290,223,60.04,19
5,truck,509,498,610,573,59.68,19
6,car,253,202,268,216,53.29,19
7,car,211,197,223,210,49.25,19
8,car,309,231,330,247,46.08,19
9,car,196,185,206,196,43.64,19
10,bus,509,498,610,573,38.21,19
11,car,642,442,682,490,38.14,19
12,car,509,498,610,573,37.82,19
13,car,396,461,450,526,35.21,19
14,car,288,345,309,362,32.17,19
15,truck,642,442,679,490,29.35,19
16,car,623,430,650,450,28.09,19
17,car,372,255,390,269,27.94,19
# Frame 20, 16
0,car,301,331,335,363,85.13,20
1,car,368,393,409,444,84.66,20
2,car,346,254,371,272,68.46,20
3,car,287,346,316,382,61.48,20
4,car,264,205,289,223,58.15,20
5,car,398,462,452,531,54.49,20
6,car,253,202,268,216,52.80,20
7,car,510,500,612,574,50.63,20
8,truck,510,499,612,573,49.28,20
9,car,211,197,223,211,47.73,20
10,car,310,231,331,247,45.80,20
11,truck,644,443,683,492,38.50,20
12,car,196,185,206,196,36.90,20
13,bus,511,500,612,573,36.34,20
14,car,644,443,681,492,32.67,20
15,car,372,255,390,269,28.71,20
# Frame 21, 17
0,car,369,394,411,444,86.91,21
1,car,301,331,335,364,83.92,21
2,car,346,253,371,272,68.55,21
3,car,264,205,289,223,58.51,21
4,car,288,346,318,384,58.13,21
5,car,512,502,614,574,58.10,21
6,car,253,202,268,216,52.56,21
7,car,310,230,330,247,51.86,21
8,car,401,463,454,529,50.94,21
9,car,212,198,223,211,45.73,21
10,car,646,445,690,494,42.91,21
11,truck,511,501,614,573,36.73,21
12,bus,511,502,614,572,36.61,21
13,truck,646,444,689,494,36.12,21
14,car,623,431,654,451,35.74,21
15,car,196,186,206,197,33.70,21
16,car,372,255,390,269,29.57,21
# Frame 22, 13
0,car,302,331,336,364,84.09,22
1,car,370,395,412,446,83.31,22
2,car,346,253,371,272,68.74,22
3,car,264,205,291,223,59.01,22
4,car,290,348,320,384,55.52,22
5,car,252,202,268,216,53.99,22
6,car,212,199,223,212,52.84,22
7,car,311,230,331,247,52.06,22
8,car,402,467,462,535,50.41,22
9,truck,515,504,597,574,46.34,22
10,car,514,503,605,574,40.22,22
11,truck,649,445,693,498,39.52,22
12,car,372,255,390,269,29.59,22
# Frame 23, 12
0,car,372,396,413,448,82.92,23
1,car,303,332,337,365,82.22,23
2,car,347,252,371,272,69.27,23
3,car,264,205,289,223,57.80,23
4,car,212,198,224,212,55.12,23
5,car,291,349,321,383,54.84,23
6,car,253,202,270,216,50.96,23
7,car,404,470,460,538,49.03,23
