# Frame 13500, 25
0,bus,208,378,309,461,94.31,13500
1,bus,19,281,87,328,93.11,13500
2,car,85,440,135,481,91.47,13500
3,car,234,337,289,370,90.20,13500
4,car,243,208,265,229,87.39,13500
5,truck,290,496,375,556,82.98,13500
6,truck,539,497,595,560,76.11,13500
7,truck,443,146,480,183,73.29,13500
8,car,321,74,332,86,69.22,13500
9,truck,415,89,439,120,69.07,13500
10,motorcycle,318,325,337,341,67.87,13500
11,car,537,197,575,227,67.58,13500
12,car,628,209,662,243,64.96,13500
13,car,488,450,546,495,63.78,13500
14,car,337,92,352,113,57.38,13500
15,car,378,86,394,99,55.75,13500
16,traffic light,343,344,354,371,54.18,13500
17,car,394,84,412,98,52.36,13500
18,car,290,497,375,556,47.94,13500
19,truck,488,450,546,496,46.33,13500
20,motorcycle,157,318,171,336,43.57,13500
21,truck,219,42,241,55,34.98,13500
22,person,157,317,170,334,33.33,13500
23,truck,537,196,575,227,30.24,13500
24,truck,628,209,662,243,27.71,13500
# Frame 13501, 27
0,bus,213,379,315,463,93.99,13501
1,bus,21,281,91,329,93.68,13501
2,car,88,441,140,486,90.83,13501
3,car,239,338,291,370,88.56,13501
4,car,244,208,266,228,87.40,13501
5,car,634,214,669,248,82.32,13501
6,car,494,451,552,496,81.87,13501
7,car,532,195,569,221,81.74,13501
8,truck,294,497,380,557,74.05,13501
9,truck,418,92,442,122,73.86,13501
10,truck,543,498,594,559,70.33,13501
11,car,320,73,331,85,69.45,13501
12,motorcycle,325,324,343,341,65.23,13501
13,car,294,498,380,557,63.42,13501
14,truck,440,144,477,180,60.58,13501
15,motorcycle,160,321,177,338,60.43,13501
16,car,397,86,418,99,50.95,13501
17,traffic light,343,344,354,372,50.33,13501
18,car,336,99,349,113,38.93,13501
19,truck,590,509,646,569,36.13,13501
20,truck,219,42,241,55,35.51,13501
21,person,161,316,176,335,34.50,13501
22,car,380,86,396,99,34.08,13501
23,car,440,143,477,180,30.29,13501
24,truck,187,1,220,32,27.94,13501
25,truck,494,450,552,497,27.60,13501
26,bus,440,144,477,180,25.99,13501
# Frame 13502, 27
0,bus,23,282,93,329,93.36,13502
1,bus,219,380,322,465,93.14,13502
2,car,92,443,144,488,91.99,13502
3,car,244,338,294,370,88.86,13502
4,car,245,207,267,228,87.16,13502
5,truck,421,93,445,123,86.13,13502
6,car,500,452,558,497,82.17,13502
7,truck,295,499,384,559,78.24,13502
8,truck,437,142,474,178,70.94,13502
9,car,526,191,562,218,67.95,13502
10,car,319,74,330,84,63.33,13502
11,car,640,218,675,253,62.59,13502
12,truck,549,500,648,569,57.11,13502
13,car,380,88,399,101,56.36,13502
14,car,396,88,413,101,50.76,13502
15,motorcycle,165,319,181,337,49.96,13502
16,car,335,92,349,111,49.76,13502
17,car,295,499,385,559,49.19,13502
18,car,401,86,420,98,46.30,13502
19,truck,640,218,675,254,45.73,13502
20,traffic light,344,345,354,372,40.30,13502
21,truck,219,42,241,55,35.34,13502
22,motorcycle,331,324,348,341,32.80,13502
23,truck,526,191,561,218,31.02,13502
24,truck,501,451,557,497,26.54,13502
25,person,166,317,180,335,25.65,13502
26,car,0,360,9,393,25.35,13502
# Frame 13503, 24
0,bus,224,381,327,465,94.35,13503
1,bus,25,282,95,329,93.60,13503
2,car,96,445,148,489,91.84,13503
3,car,250,338,297,371,87.82,13503
4,car,246,206,267,227,86.64,13503
5,car,506,452,563,498,85.91,13503
6,truck,423,94,449,125,84.94,13503
7,car,521,188,556,214,83.65,13503
8,truck,300,500,391,561,70.68,13503
9,truck,434,140,473,176,70.38,13503
10,car,0,362,11,396,68.65,13503
11,car,646,223,682,259,68.06,13503
12,car,318,73,331,84,65.51,13503
13,truck,554,501,648,569,64.73,13503
14,car,328,91,349,111,62.30,13503
15,motorcycle,170,321,186,338,56.31,13503
16,car,389,89,413,102,54.62,13503
17,car,399,86,423,100,51.03,13503
18,car,301,501,391,560,48.31,13503
19,truck,644,223,682,259,39.30,13503
20,car,379,87,404,101,37.04,13503
21,traffic light,344,345,354,372,36.52,13503
22,truck,219,42,241,55,33.77,13503
23,person,171,318,185,335,25.60,13503
# Frame 13504, 25
0,bus,27,282,98,330,94.21,13504
1,bus,230,382,334,466,92.84,13504
2,car,99,446,152,490,91.52,13504
3,car,246,205,267,226,85.77,13504
4,car,512,453,568,498,83.49,13504
5,truck,431,139,465,174,79.81,13504
6,car,0,365,14,397,73.67,13504
7,truck,427,95,453,126,72.05,13504
8,car,516,182,550,210,71.97,13504
9,car,388,91,412,103,67.28,13504
10,car,312,503,396,562,66.38,13504
11,car,688,344,703,385,66.09,13504
12,car,316,73,328,83,63.14,13504
13,car,328,91,348,109,62.72,13504
14,car,654,226,688,264,62.20,13504
15,truck,560,502,647,568,61.39,13504
16,truck,311,502,396,562,57.15,13504
17,motorcycle,175,322,191,339,55.61,13504
18,car,405,86,426,99,55.60,13504
19,truck,654,226,687,264,46.68,13504
20,car,255,339,292,370,41.65,13504
21,truck,219,42,241,55,33.24,13504
22,truck,255,338,341,372,28.66,13504
23,person,175,317,188,335,27.03,13504
24,truck,511,453,568,498,25.46,13504
# Frame 13505, 31
0,bus,29,282,101,330,93.09,13505
1,car,103,448,157,492,91.43,13505
2,bus,237,384,339,467,85.98,13505
3,car,247,205,268,225,83.94,13505
4,car,512,180,545,206,83.54,13505
5,car,659,232,695,269,82.53,13505
6,car,518,454,574,499,81.50,13505
7,car,683,338,703,386,76.38,13505
8,car,0,365,17,397,75.25,13505
9,car,390,91,408,105,72.84,13505
10,truck,429,137,463,171,72.11,13505
11,truck,317,503,401,564,68.87,13505
12,truck,565,503,647,567,68.58,13505
13,car,315,72,328,83,67.21,13505
14,car,317,505,401,563,66.66,13505
15,motorcycle,180,321,196,339,58.44,13505
16,truck,430,95,456,128,54.44,13505
17,car,327,92,346,108,52.36,13505
18,car,415,88,428,99,50.90,13505
19,car,402,88,418,102,50.60,13505
20,car,261,339,294,370,44.20,13505
21,truck,260,339,340,373,38.68,13505
22,traffic light,344,344,354,372,36.51,13505
23,truck,237,383,340,467,35.77,13505
24,truck,219,42,241,55,33.95,13505
25,car,378,82,392,93,32.07,13505
26,car,439,113,456,129,31.56,13505
27,person,181,318,194,336,29.66,13505
28,car,377,76,390,90,27.40,13505
29,bus,429,137,463,171,27.32,13505
30,truck,517,453,574,499,26.22,13505
# Frame 13506, 27
0,bus,31,282,104,330,92.71,13506
1,bus,243,384,346,468,92.58,13506
2,car,107,449,161,493,91.91,13506
3,car,523,455,579,500,86.58,13506
4,car,666,237,701,275,86.32,13506
5,car,247,204,268,224,84.63,13506
6,car,676,333,703,385,83.36,13506
7,car,506,178,541,202,80.44,13506
8,truck,321,505,408,566,80.24,13506
9,car,0,365,20,399,79.83,13506
10,truck,570,504,647,567,71.54,13506
11,truck,433,97,459,130,70.23,13506
12,car,392,90,412,105,68.41,13506
13,car,314,72,327,82,64.53,13506
14,truck,426,136,460,169,64.21,13506
15,motorcycle,185,324,201,340,55.68,13506
16,car,325,90,345,107,55.65,13506
17,car,404,90,420,104,51.29,13506
18,car,325,506,408,565,48.59,13506
19,traffic light,344,343,354,371,46.80,13506
20,truck,266,339,324,371,44.94,13506
21,car,416,89,429,100,41.68,13506
22,car,379,84,394,94,38.52,13506
23,person,185,318,197,336,37.01,13506
24,bus,426,136,459,169,36.81,13506
25,car,266,339,321,371,34.19,13506
26,truck,219,42,241,55,33.02,13506
# Frame 13507, 27
0,bus,33,283,107,331,92.79,13507
1,car,110,451,166,496,92.55,13507
2,car,0,364,23,401,86.72,13507
3,car,248,203,269,224,85.58,13507
4,car,673,241,703,280,85.04,13507
5,bus,249,387,354,469,84.64,13507
6,truck,327,506,412,566,82.28,13507
7,truck,424,134,455,167,77.43,13507
8,car,502,174,534,199,77.09,13507
9,car,671,327,703,385,76.17,13507
10,truck,436,99,462,132,75.15,13507
11,car,391,92,418,107,73.15,13507
12,car,529,455,584,501,72.38,13507
13,car,313,71,327,82,70.78,13507
14,truck,576,506,647,567,68.34,13507
15,car,324,90,345,108,67.08,13507
16,motorcycle,189,323,206,339,60.15,13507
17,car,402,85,430,101,59.47,13507
18,car,379,83,400,95,48.07,13507
19,truck,529,455,584,500,45.32,13507
20,car,328,506,413,566,43.61,13507
21,person,190,317,203,336,40.74,13507
22,truck,248,386,353,469,39.60,13507
23,truck,219,42,241,55,31.11,13507
24,car,260,191,275,204,26.47,13507
25,traffic light,344,344,354,372,26.24,13507
26,truck,671,326,703,385,25.17,13507
# Frame 13508, 28
0,car,115,452,170,499,93.72,13508
1,bus,36,283,110,331,92.34,13508
2,car,0,365,26,402,86.67,13508
3,car,249,203,270,223,85.69,13508
4,car,497,171,530,195,83.86,13508
5,car,680,246,703,280,81.20,13508
6,truck,439,100,467,134,80.40,13508
7,truck,421,132,452,165,74.03,13508
8,truck,332,507,418,567,73.96,13508
9,car,534,456,589,502,71.44,13508
10,bus,256,388,361,470,70.98,13508
11,truck,255,387,360,471,69.74,13508
12,car,394,94,417,108,66.62,13508
13,truck,580,508,647,568,64.62,13508
14,car,324,90,345,104,63.78,13508
15,car,313,72,325,82,61.10,13508
16,motorcycle,194,324,211,340,56.78,13508
17,car,665,319,703,378,53.63,13508
18,truck,665,319,703,379,51.57,13508
19,car,333,508,418,567,47.44,13508
20,car,402,87,431,102,45.19,13508
21,car,381,83,402,96,43.99,13508
22,person,195,318,207,337,41.09,13508
23,truck,534,456,589,502,40.84,13508
24,traffic light,343,343,354,372,35.80,13508
25,truck,219,42,241,55,30.58,13508
26,car,260,191,275,203,27.65,13508
27,car,323,95,334,106,25.51,13508
# Frame 13509, 26
0,bus,38,283,112,331,93.12,13509
1,car,118,454,174,500,92.51,13509
2,bus,261,388,366,471,88.89,13509
3,car,540,457,594,502,86.58,13509
4,car,492,168,525,192,84.77,13509
5,car,0,366,29,404,84.69,13509
6,car,250,202,270,222,84.42,13509
7,car,659,317,703,372,82.80,13509
8,truck,337,508,424,569,78.94,13509
9,truck,442,100,471,136,78.32,13509
10,truck,418,129,450,164,68.56,13509
11,car,398,94,420,110,63.32,13509
12,car,312,71,324,81,58.74,13509
13,car,687,252,703,282,58.53,13509
14,car,322,90,344,105,56.70,13509
15,motorcycle,199,323,215,340,56.54,13509
16,car,407,88,433,102,51.38,13509
17,car,339,509,424,569,51.15,13509
18,truck,585,509,647,569,49.35,13509
19,person,200,317,212,337,40.48,13509
20,car,322,94,334,106,37.69,13509
21,car,383,82,404,96,36.64,13509
22,car,448,120,470,135,31.57,13509
23,truck,219,42,240,55,30.81,13509
24,truck,261,388,366,471,29.32,13509
25,traffic light,344,343,354,372,27.27,13509
# Frame 13510, 26
0,bus,40,284,115,331,93.22,13510
1,car,122,455,179,499,92.84,13510
2,car,489,166,520,189,85.06,13510
3,car,546,458,599,502,84.20,13510
4,car,652,309,701,365,83.80,13510
5,car,250,201,270,221,82.50,13510
6,bus,267,389,374,471,78.87,13510
7,truck,343,509,429,570,75.23,13510
8,car,0,367,32,406,74.53,13510
9,truck,416,130,447,162,74.35,13510
10,car,401,95,423,112,69.22,13510
11,car,321,91,338,105,67.43,13510
12,motorcycle,204,323,221,340,63.26,13510
13,car,343,511,429,570,60.53,13510
14,car,311,71,322,81,60.24,13510
15,car,407,87,435,104,56.85,13510
16,car,449,119,474,138,52.80,13510
17,truck,266,388,371,473,51.58,13510
18,truck,0,366,32,405,44.28,13510
19,car,693,255,703,282,40.74,13510
20,car,382,78,403,96,39.88,13510
21,person,205,318,217,336,35.85,13510
22,truck,591,509,648,568,30.55,13510
23,truck,219,42,240,55,29.63,13510
24,car,416,131,446,162,28.97,13510
25,truck,446,102,473,138,26.84,13510
# Frame 13511, 27
0,bus,42,284,118,332,92.12,13511
1,car,126,456,183,501,91.24,13511
2,bus,272,390,378,473,89.74,13511
3,car,485,162,515,186,86.36,13511
4,truck,348,510,435,572,86.09,13511
5,car,647,305,696,360,85.20,13511
6,car,251,201,271,220,81.89,13511
7,truck,414,127,443,161,74.38,13511
8,car,3,368,36,408,73.68,13511
9,car,404,96,426,113,72.55,13511
10,car,320,91,334,105,69.00,13511
11,motorcycle,209,325,225,341,62.08,13511
12,car,310,71,321,81,57.89,13511
13,car,551,459,604,503,56.48,13511
14,truck,551,458,604,503,56.15,13511
15,car,408,87,430,103,48.62,13511
16,truck,384,78,402,97,46.32,13511
17,truck,592,509,671,569,44.53,13511
18,truck,3,368,35,408,44.15,13511
19,car,461,123,479,141,43.31,13511
20,truck,273,390,378,474,42.38,13511
21,car,348,512,435,572,36.62,13511
22,person,210,317,221,337,34.33,13511
23,motorcycle,384,324,402,341,34.20,13511
24,car,255,175,271,186,28.62,13511
25,car,416,91,437,104,28.30,13511
26,truck,449,104,474,131,26.24,13511
# Frame 13512, 27
0,bus,44,284,122,332,92.09,13512
1,car,131,458,188,503,91.08,13512
2,car,480,160,510,183,86.69,13512
3,bus,279,391,384,475,83.73,13512
4,car,6,369,39,409,82.93,13512
5,car,641,301,690,353,82.91,13512
6,truck,354,511,441,572,80.94,13512
7,car,251,201,271,220,79.82,13512
8,car,405,98,428,115,76.91,13512
9,car,556,459,609,504,76.90,13512
10,truck,412,124,441,159,76.08,13512
11,car,319,90,334,105,72.90,13512
12,car,688,312,703,346,68.35,13512
13,motorcycle,214,327,230,341,65.00,13512
14,truck,279,391,384,476,61.37,13512
15,car,416,92,439,105,57.35,13512
16,car,309,71,320,80,57.34,13512
17,car,353,513,441,573,56.24,13512
18,truck,591,509,671,568,55.70,13512
19,car,462,121,483,143,49.72,13512
20,truck,453,104,481,141,44.68,13512
21,truck,385,77,402,97,40.51,13512
22,truck,556,459,609,504,38.08,13512
23,car,410,87,431,102,36.48,13512
24,person,215,319,228,337,36.07,13512
25,truck,5,369,39,409,31.94,13512
